	Unnamed..0	sentence	Rating	Figurative	Comments
17	f05en_1874	As she gives Pablo a hug and a kiss on the cheek before entering the lion''s den , she whispers, "Find out from Maddie, Logan, Em how well she can block Bobby''s crazy?	3	n	
18	m03en_315	However, while he thinks simply lower interest rates will entice people to borrow, he fails to see the other side of the coin that is spinning.	2	n	
19	m04en_449	At any price greater than the choke price, the quantity demanded is zero, so the demand curve runs along the vertical axis.	3		which part is the idiom?
20	e17en_85	Did that fact just go in one ear and out the other?	2	n	
21	f25en_310	 Sheriff Tate and his colleagues are going to have to figure out who the mysterious killer really is as he plays his game of cat and mouse hiding behind a false internet identity before he kills again.	3	n	
22	s10en_2362	I wouldn''t ordinarily call this a good approach, but it sounds like your hands are tied here.	2	n	
23	s12en_7177	It is easily observed with the naked eye and is sometimes called the "evening star" or "morning star."	3	n	
24	p01en_1247	There is no need to take off your hat when entering the temple complex, but when you enter the sacred place within a temple always take off your hat.	3	y	
25	b29en_1797	It is becoming increasingly more challenging to separate the wheat from the chaff , particularly under the pressure of an increasing workload.	3	n	
26	b23en_6845	Reflecting on your career, when did you decide to take the community under your wing ?	4	n	
27	r18en_8739	, Schools, and Institutions By Rhonda Sherman Chelseagreen November 8, 2018 Turning waste into wealth sounds too good to be true , but many worm farmers are finding that vermicomposting is a reliable way to do just that.	3		which part is the idiom?
28	k21en_650	When Billie-Jo says dads digging his own grave not a pond, he''s doing that because to much stuff is going on it was easier with ma.	3	n	
29	n08en_14	Lunacharsky''s Revolutionary Silhouettes:  "the news of the split hit us like a bolt from the blue .	3	n	
30	s06en_2618	He admits that Marc is, in fact, getting on his nerves –the tone of Marc''s voice is ingratiating and irritating, as if Marc is forcing himself to be pleasant.	2	n	
31	k04en_4846	The devil is in the details .	3	n	
32	i03en_4696	I have learned to listen attentively to students'' comments and to read between the lines of their reflective writing.	4	n	
33	c25en_1521	"With REFRESH, we want to help people by focusing on changing their behaviour, both day and night , by using the latest science and technology."	4	y	
34	m13en_2019	Turns out that putting all your eggs in one basket and ignoring the all valid points on the other side is just as prescientific as the early days geology .	3	n	
35	p10en_4544	He was known as "Stub Finger", and I must say, I welcomed him with open arms .	3	n	
36	n03en_1127	I''m a regular trading the Forex and to date I barely keep my head above water , so this was a very interesting read.	3	n	
37	e17en_840	That''s probably why my main career is in radio: in radio, thoughts go in one ear and out the other, and it''s easy to forget.	3	n	
38	i09en_575	It looks like I am reinventing the wheel , minus valves and transistors, this work might even seem redundant to some of the techno-nerds.	3	n	
39	p10en_9463	's why he came here to me," Alois explained, "When he confessed this at the station he wondered why I didn''t welcome him with open arms ".	3	n	
40	m08en_859	It ''s a goldmine of untapped story potential."	4	n	
41	b23en_4031	I had half the mind to take her under my wing before the day was out, but sadly, fate just had to intervene.	3	n	
42	o12en_128	bear the trials that fate imposes on us; we shall work for others without rest, both now and when we are old; and when our last hour comes we shall meet it humbly, and there, beyond the grave, we shall say that we have suffered and wept, that our life was bitter	3	n	is "beyond the grave" the idiom?
43	m21en_105	Sweet-talkin'' liar, You''re in for a fall, You tell me a story, You talk to the wall !	2	n	
44	c25en_626	Such unique geography results in a wide range between the day and night temperatures, enabling growers to produce exquisite Pinot Noir grapes throughout these warm Indian summers.	4	y	
45	s03en_4144	A wonderful little man with a heart of gold , full of fun and enthusiasm and commitment.	4	n	
46	i16en_4963	Company to Blanket City Streets With WiFi Connected "Smart Pavement"  Telecom giant Virgin Media has been given the green light to begin doing just that.	3	n	
47	a20en_725	With no clear repatriation plan, all political parties have added fuel to the fire by strengthening their essential positions of polarisation – the practicality, enforceability and morality of the	3	n	
48	p09en_6112	Put babies to sleep on their backs until they can turn over by themselves.	3		which part is the idiom?
49	k20en_147	He will not visit judgment upon the sinner until the last breath the sinner takes in this life.	3		which part is the idiom?
50	m08en_193	–and, yes, silent comedies can be shocking too!–was the finale of 1924''s Outdoor Pajamas (McCarey films of this era are a goldmine of great titles), a Charley Chase roundelay where two women and three men each are chasing the affably mustachioed chap	3	n	
